threat_id,timestamp,source_ip,destination_ip,attack_type,detection_method,confidence,severity,affected_system,response_priority,status
TID-20260413 - 0027,2026-04-13 17:18:21,192.168.2.101,192.168.0.1,Advanced Persistent Threat (APT),AI -Logistic Regression,0.9905,High,File Server,P1 - Immediate,Open
TID-20260413 - 0028,2026-04-13 17:18:22,192.168.1.45,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0029,2026-04-13 17:18:24,203.0.113.42,10.0.0.2,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.9957,High,File Server,P1 - Immediate,Open
TID-20260413 - 0030,2026-04-13 17:18:27,198.51.100.7,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0031,2026-04-13 17:18:32,192.168.2.101,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0032,2026-04-13 17:18:33,172.31.255.1,172.16.1.1,DoS / DDoS Attack,AI -Logistic Regression,0.9993,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0033,2026-04-13 17:18:39,198.51.100.7,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0034,2026-04-13 17:18:41,10.0.0.88,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9994,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0035,2026-04-13 17:18:42,198.51.100.7,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0036,2026-04-13 17:18:44,192.168.1.10,192.168.0.1,Advanced Persistent Threat (APT),AI -Logistic Regression,0.9806,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0037,2026-04-13 17:18:53,172.16.0.5,10.0.0.5,DoS / DDoS Attack,AI -Logistic Regression,1.0,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0038,2026-04-13 17:18:56,203.0.113.42,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0039,2026-04-13 17:19:03,10.0.0.88,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0040,2026-04-13 17:19:05,192.168.2.101,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,File Server,P1 - Immediate,Open
TID-20260413 - 0041,2026-04-13 17:19:11,192.168.1.10,10.0.0.2,Advanced Persistent Threat (APT),AI -Logistic Regression,0.9977,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0042,2026-04-13 17:19:12,192.168.1.45,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0043,2026-04-13 17:19:15,172.31.255.1,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0044,2026-04-13 17:19:17,192.168.1.10,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0045,2026-04-13 17:19:20,192.168.2.101,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9997,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0046,2026-04-13 17:19:23,10.10.10.50,10.0.0.1,DoS / DDoS Attack,AI -Logistic Regression,1.0,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0047,2026-04-13 17:19:24,192.168.1.10,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,0.9993,High,File Server,P1 - Immediate,Open
TID-20260413 - 0048,2026-04-13 17:19:26,10.10.10.50,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0049,2026-04-13 17:19:29,172.31.255.1,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.998,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0050,2026-04-13 17:19:30,192.168.1.10,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0051,2026-04-13 17:19:32,10.10.10.50,172.16.1.1,Advanced Persistent Threat (APT),AI -Logistic Regression,0.9841,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0052,2026-04-13 17:19:42,172.31.255.1,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9995,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0053,2026-04-13 17:19:44,10.10.10.50,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0054,2026-04-13 17:19:50,192.0.2.200,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0055,2026-04-13 17:19:58,192.168.1.45,10.0.0.2,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.9864,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0056,2026-04-13 17:19:59,10.0.0.88,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0057,2026-04-13 17:20:02,172.31.255.1,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9997,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0058,2026-04-13 17:20:05,198.51.100.7,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9976,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0059,2026-04-13 17:20:08,10.0.0.88,10.0.0.5,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.9994,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0060,2026-04-13 17:20:11,192.168.1.45,172.16.1.1,Advanced Persistent Threat (APT),AI -Logistic Regression,0.9945,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0061,2026-04-13 17:20:14,203.0.113.42,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0062,2026-04-13 17:20:17,10.10.10.50,10.0.0.5,DoS / DDoS Attack,AI -Logistic Regression,0.9999,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0063,2026-04-13 17:20:20,172.31.255.1,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0064,2026-04-13 17:20:22,203.0.113.42,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0065,2026-04-13 17:20:23,10.10.10.50,192.168.0.1,DoS / DDoS Attack,AI -Logistic Regression,1.0,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0066,2026-04-13 17:20:28,203.0.113.42,10.0.0.1,Probe / Network Sweep,AI -Logistic Regression,0.8796,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0067,2026-04-13 17:20:34,172.31.255.1,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0068,2026-04-13 17:20:38,192.168.2.101,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,File Server,P1 - Immediate,Open
TID-20260413 - 0069,2026-04-13 17:20:51,192.0.2.200,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0070,2026-04-13 17:20:57,198.51.100.7,192.168.0.1,DoS / DDoS Attack,AI -Logistic Regression,0.9996,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0071,2026-04-13 17:21:00,198.51.100.7,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0072,2026-04-13 17:21:07,10.10.10.50,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,0.9983,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0073,2026-04-13 17:21:09,192.168.2.101,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9834,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0074,2026-04-13 17:21:12,192.168.2.101,10.0.0.5,Advanced Persistent Threat (APT),AI -Logistic Regression,0.9642,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0075,2026-04-13 17:21:16,172.31.255.1,10.0.0.2,DoS / DDoS Attack,AI -Logistic Regression,0.9999,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0076,2026-04-13 17:21:18,10.0.0.88,10.0.0.1,Probe / Network Sweep,AI -Logistic Regression,0.9822,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0077,2026-04-13 17:21:21,192.168.1.45,192.168.0.1,DoS / DDoS Attack,AI -Logistic Regression,1.0,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0078,2026-04-13 17:21:27,192.0.2.200,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0079,2026-04-13 17:21:33,10.0.0.88,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9995,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0080,2026-04-13 17:21:34,192.0.2.200,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9995,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0081,2026-04-13 17:21:36,192.168.1.45,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0082,2026-04-13 17:21:37,203.0.113.42,10.0.0.2,Advanced Persistent Threat (APT),AI -Logistic Regression,0.9987,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0083,2026-04-13 17:21:40,10.0.0.88,172.16.1.1,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.9983,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0084,2026-04-13 17:21:43,198.51.100.7,10.0.0.5,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.9998,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0085,2026-04-13 17:21:46,192.168.1.45,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0086,2026-04-13 17:21:56,10.10.10.50,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0087,2026-04-13 17:22:02,172.31.255.1,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,File Server,P1 - Immediate,Open
TID-20260413 - 0088,2026-04-13 17:22:03,192.168.1.45,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9985,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0089,2026-04-13 17:22:05,192.168.1.45,10.0.0.5,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.9999,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0090,2026-04-13 17:22:11,203.0.113.42,10.0.0.1,DoS / DDoS Attack,AI -Logistic Regression,0.9999,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0091,2026-04-13 17:22:14,203.0.113.42,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0092,2026-04-13 17:22:15,203.0.113.42,192.168.0.1,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.9944,High,File Server,P1 - Immediate,Open
TID-20260413 - 0093,2026-04-13 17:22:17,10.10.10.50,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9926,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0094,2026-04-13 17:22:18,198.51.100.7,10.0.0.1,DoS / DDoS Attack,AI -Logistic Regression,0.9989,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0095,2026-04-13 17:22:20,192.168.1.10,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9973,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0096,2026-04-13 17:22:21,192.0.2.200,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0097,2026-04-13 17:22:23,172.31.255.1,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0098,2026-04-13 17:22:27,192.168.2.101,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0099,2026-04-13 17:22:30,192.0.2.200,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,0.9961,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0100,2026-04-13 17:22:44,203.0.113.42,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0101,2026-04-13 17:22:45,203.0.113.42,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0102,2026-04-13 17:22:48,172.31.255.1,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0103,2026-04-13 17:22:53,10.10.10.50,10.0.0.2,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.9991,High,File Server,P1 - Immediate,Open
TID-20260413 - 0104,2026-04-13 17:22:54,198.51.100.7,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9942,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0105,2026-04-13 17:22:57,198.51.100.7,10.0.0.5,Probe / Network Sweep,AI -Logistic Regression,0.9808,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0106,2026-04-13 17:23:00,203.0.113.42,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,File Server,P1 - Immediate,Open
TID-20260413 - 0107,2026-04-13 17:23:03,198.51.100.7,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,File Server,P1 - Immediate,Open
TID-20260413 - 0108,2026-04-13 17:23:05,203.0.113.42,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9986,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0109,2026-04-13 17:23:08,192.0.2.200,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0110,2026-04-13 17:23:14,192.168.2.101,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0111,2026-04-13 17:23:16,172.16.0.5,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9997,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0112,2026-04-13 17:23:23,192.168.1.45,10.0.0.1,DoS / DDoS Attack,AI -Logistic Regression,0.9996,High,File Server,P1 - Immediate,Open
TID-20260413 - 0113,2026-04-13 17:23:25,10.10.10.50,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,File Server,P1 - Immediate,Open
TID-20260413 - 0114,2026-04-13 17:23:28,192.168.1.45,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0115,2026-04-13 17:23:29,198.51.100.7,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0116,2026-04-13 17:23:31,172.16.0.5,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0117,2026-04-13 17:23:35,192.0.2.200,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,File Server,P1 - Immediate,Open
TID-20260413 - 0118,2026-04-13 17:23:40,198.51.100.7,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0119,2026-04-13 17:23:41,203.0.113.42,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0120,2026-04-13 17:23:43,192.0.2.200,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0121,2026-04-13 17:23:49,192.168.1.45,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0122,2026-04-13 17:23:50,192.168.1.45,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0123,2026-04-13 17:23:53,10.0.0.88,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0124,2026-04-13 17:23:55,172.31.255.1,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0125,2026-04-13 17:23:56,172.31.255.1,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9983,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0126,2026-04-13 17:23:58,198.51.100.7,172.16.1.1,DoS / DDoS Attack,AI -Logistic Regression,1.0,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0127,2026-04-13 17:23:59,172.16.0.5,10.0.0.1,Probe / Network Sweep,AI -Logistic Regression,0.9963,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0128,2026-04-13 17:24:05,198.51.100.7,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0129,2026-04-13 17:24:07,192.168.2.101,10.0.0.2,Probe / Network Sweep,AI -Logistic Regression,0.9969,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0130,2026-04-13 17:24:08,10.10.10.50,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0131,2026-04-13 17:24:10,172.31.255.1,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9987,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0132,2026-04-13 17:24:11,192.168.1.10,10.0.0.2,DoS / DDoS Attack,AI -Logistic Regression,0.9999,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0133,2026-04-13 17:24:13,10.0.0.88,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9995,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0134,2026-04-13 17:24:17,192.168.2.101,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0135,2026-04-13 17:24:19,10.10.10.50,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0136,2026-04-13 17:24:23,192.168.2.101,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0137,2026-04-13 17:24:25,172.31.255.1,10.0.0.5,DoS / DDoS Attack,AI -Logistic Regression,1.0,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0138,2026-04-13 17:24:29,198.51.100.7,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9997,High,File Server,P1 - Immediate,Open
TID-20260413 - 0139,2026-04-13 17:24:40,10.0.0.88,192.168.0.1,Advanced Persistent Threat (APT),AI -Logistic Regression,0.9965,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0140,2026-04-13 17:24:42,192.168.1.45,10.0.0.1,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.9999,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0141,2026-04-13 17:24:43,10.0.0.88,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9988,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0142,2026-04-13 17:24:46,192.168.1.10,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0143,2026-04-13 17:24:48,198.51.100.7,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9994,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0144,2026-04-13 17:24:52,192.168.1.10,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0145,2026-04-13 17:24:55,192.0.2.200,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0146,2026-04-13 17:25:01,172.16.0.5,192.168.0.1,Advanced Persistent Threat (APT),AI -Logistic Regression,0.9874,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0147,2026-04-13 17:25:04,172.16.0.5,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0148,2026-04-13 17:25:07,192.168.1.45,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0149,2026-04-13 17:25:10,10.0.0.88,10.0.0.5,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.9885,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0150,2026-04-13 17:25:15,172.31.255.1,10.0.0.1,DoS / DDoS Attack,AI -Logistic Regression,0.9993,High,File Server,P1 - Immediate,Open
TID-20260413 - 0151,2026-04-13 17:25:19,192.168.2.101,192.168.0.1,DoS / DDoS Attack,AI -Logistic Regression,0.9959,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0152,2026-04-13 17:25:22,192.0.2.200,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0153,2026-04-13 17:25:25,172.31.255.1,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0154,2026-04-13 17:25:27,198.51.100.7,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9997,High,Database Server,P1 - Immediate,Open
